TANK | 1375030527920181340 | 119.18.2.249
d1roleplayer | 1105469817823178893 | 203.40.149.114
Jeffy ABOOD | 1035435693633179678 | 1.41.10.61
Fluiidzz | 536150206975311882 | 101.188.209.103
Alabama | <@745053338596409446> | 121.99.165.81
timmy turner | <@1425182414380204123> | 122.106.43.101
Zeptic | 931847569158578186 | 1.158.53.9
BlinkeeTrainer | 1034353838804717579 | 65.181.13.135
mcphedranethan01 | @Ethan_mc141210 | 115.131.92.240
GOLDEN |820541988268539915 | 101.115.179.92
STEEZY | 1109701224984498276 | 119.18.2.57
2am | 1232237862171316294 | 101.177.133.24
XNFlux | 1219532256679297064 | 87.121.75.136
Kwibz_426 | 1082111443954040852 | 87.121.75.136
Voids mascot | 702729877253521486 | 121.98.52.64
its Huds |1297525404680196188  | 118.92.16.173

Fought | 882083428969873538 | 180.181.248.241
magician | 1451728588544934034 | 49.194.63.177
Field Day | 266579458184445952 | 144.6.79.215
MUFFIN | 659374869410086942 | 58.160.181.169
Benny | 785853283154919424 | 175.39.1.229
Dom |824906459502477335 | 115.70.50.94
puve72916 | 1316661301128200235 | 175.36.247.104
tayloreather77 | 1337652243721359420 | 122.150.136.226
hahev | 1447644743189397546 | 124.189.6.25
Peter Hendry | 537080076567707668 | 122.150.136.226
nick mars | 1332000596877774881 | 118.210.26.96
johnnycox | 1104387207097237545 | 101.191.19.98
ttk VYRAL vimh | 1392821997301530716 | 122.150.204.186
riley | 1050034933399289936 | 101.184.151.145
DEMON SHOOTA | 1452025520156967003 |65.181.13.148
. | 1140338346632159322 | 58.173.35.132

yurr heard | 1384727208454525090 | 220.240.140.31
BreezyDuck4588 | 1327481951585701952 | 159.196.84.215
best oce | 807554131429556245 | 149.167.0.240
Ethan | 974259998634954802 | 101.188.203.131
Cheater 6 7 | 817675119367290912 | 120.153.97.218
EL GHOST | 1256106627036086312 | 117.20.68.231
FENT |1339761723195785277 | 122.150.163.113
Nightmarebabe | 1297461219602468875 | 124.148.236.18
Ander Dingus | 1103250358848979045 | 115.186.235.28
GetFkD | 1391538374044684449 | 101.100.133.142
DOKA | 415224526889156628 | 118.92.42.152
GhostyyAU | 1044488274464473128 | 122.150.141.48
slack | 737006575138635847 | 203.123.65.34
Augs | 598495006839537674 | 120.154.26.217
SNIFFYZ | 1275165175875502171 | 43.231.69.12
kuuu | 1294903437183418386 | 125.254.104.132
free | 1055522444305252352 | 122.150.155.225

family feast combo | 724133351551664208 | 101.189.55.13
ernie |1046736067111440466 | 101.189.55.13
rioki | 1447644678148063234 | 124.189.6.25
online | 1447682437017505892 | 101.185.40.224
Chunks | 1010364924196831253 | 203.221.187.182
